gs,,,,,,,,,,,,
,,,,,,,,,,,,
Station,Date(NZST),Time(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
Christchurch Aero,20180207,800,17.1,24,10.2,24,6.1,24,-,-,-,D
Christchurch Aero,20180208,800,20.6,24,7.4,24,2.8,24,-,-,-,D
Christchurch Aero,20180209,800,21.3,24,13.7,24,12.4,24,-,-,-,D
Christchurch Aero,20180210,800,21.9,24,13.3,24,10.4,24,-,-,-,D
Christchurch Aero,20180211,800,23.6,24,16.4,24,16.7,24,-,-,-,D
Christchurch Aero,20180212,800,19.4,24,15.2,24,13.4,24,-,-,-,D
Christchurch Aero,20180213,800,28.4,24,14.9,24,11.2,24,-,-,-,D
Christchurch Aero,20180214,800,27.6,24,15.1,24,10.8,24,-,-,-,D
Christchurch Aero,20180215,800,21.7,24,12.5,24,9.2,24,-,-,-,D
Christchurch Aero,20180216,800,29.5,24,12.2,24,9.5,24,-,-,-,D
Christchurch Aero,20180217,800,30.7,24,14.6,24,15.2,24,-,-,-,D
Christchurch Aero,20180218,800,27.6,24,13.6,24,10.1,24,-,-,-,D
Christchurch Aero,20180219,800,28.2,24,13.4,24,7.4,24,-,-,-,D
Christchurch Aero,20180220,800,27.6,24,12.5,24,12.1,24,-,-,-,D
Christchurch Aero,20180221,800,13.2,24,11.3,24,11.1,24,-,-,-,D
Christchurch Aero,20180222,800,14,24,9.2,24,7,24,-,-,-,D
Christchurch Aero,20180223,800,17.8,24,7.4,24,4.1,24,-,-,-,D
Christchurch Aero,20180224,800,20.8,24,10.3,24,7.6,24,-,-,-,D
Christchurch Aero,20180225,800,21.1,24,11,24,7.4,24,-,-,-,D
Christchurch Aero,20180226,800,25.5,24,11.4,24,11,24,-,-,-,D
Christchurch Aero,20180227,800,17.4,24,11.2,24,9.1,24,-,-,-,D
Christchurch Aero,20180228,800,16.9,24,12.1,24,11.7,24,-,-,-,D
Christchurch Aero,20180301,800,20.6,24,13,24,13.5,24,-,-,-,D
Christchurch Aero,20180302,800,25.2,24,15.9,24,13.3,24,-,-,-,D
Christchurch Aero,20180303,800,24,24,16.3,24,15,24,-,-,-,D
Christchurch Aero,20180304,800,24,24,13.7,24,11,24,-,-,-,D
Christchurch Aero,20180305,800,27,24,15.3,24,12.3,24,-,-,-,D
Christchurch Aero,20180306,800,23,24,15.8,24,15.6,24,-,-,-,D
Christchurch Aero,20180307,800,19.2,24,10.7,24,9.5,24,-,-,-,D
Christchurch Aero,20180308,800,17.8,24,6.9,24,3.3,24,-,-,-,D
Christchurch Aero,20180309,800,20.1,24,10,24,7.9,24,-,-,-,D
Christchurch Aero,20180310,800,16,24,7.1,24,2.1,24,-,-,-,D
Christchurch Aero,20180311,800,18.3,24,5.4,24,1.2,24,-,-,-,D
Christchurch Aero,20180312,800,20.1,24,8.5,24,4.5,24,-,-,-,D
Christchurch Aero,20180313,800,24.3,24,9.5,24,6.6,24,-,-,-,D
Christchurch Aero,20180314,800,20.3,24,4.5,24,0.5,24,-,-,-,D
Christchurch Aero,20180315,800,21.3,24,8.5,24,4.4,24,-,-,-,D
Christchurch Aero,20180316,800,24,24,12.2,24,7.6,24,-,-,-,D
